"Now Shopping by","تسوق الآن من"
Previous,السابق
Remove,ازالة
"Remove This Item","حذف هذا العنصر"
"Shop By","تصفح عبر"
"Clear All","إلغاء الكل"
"Shopping Options","خيارات تنفيذ البيع"
"Welcome to %store_name","مرحبا بك في %store_name"
"%name,",%name،
"Welcome to %store_name.","مرحبا بك في %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","لتسجيل الدخول إلى موقعنا استخدم بيانات الدخول التالية للشراء أو لإدارة <a href=""%customer_url""> عضويتك</a>:"
Email:,"البريد الالكترونى:"
Password:,"الرقم السري:"
"Password you set when creating account","كلمة المرور التي قمت بتعيينها عند إنشاء الحساب"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","نسيت كلمة مرور حسابك؟ <a href=""%reset_url"">اضغط هنا</a> لإعادة تعيينها."
"When you sign in to your account, you will be able to:","عند تسجيل الدخول إلى حسابك، سوف تكون قادراً على:"
"Quick Checkout","إتمام الشراء الفوري"
"Proceed through checkout faster","أكمل في الشراء الفوري"
"Order Status","حالة الطلب"
"Check the status of orders","التحقق من حالة الطلب"
"Manage Addresses","إدارة العناوين"
"Store alternative addresses","حفظ عناوين بديلة"
"For shipping to multiple family members and friends","للشحن إلى العديد من أفراد العائلة والأصدقاء"
"Order History","سجل الطلبات"
"View past orders","عرض الطلبات السابقة"
Footer,"ذيل الصفحة"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone""> %store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","ساعات العمل: < br/> <span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","مذكرة الائتمان لطلبك %store_name"
"Thank you for your order from %store_name.","شكرا لك على الشراء من %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","يمكنك التحقق من حالة طلبك عبر <a href=""%account_url""> تسجيل الدخول إلى حسابك</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","إذا كان لديك أسئلة حول الطلب، يمكنك مراسلتنا على <a href=""mailto:%store_email""> %store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","مذكره الإئتمان رقم #%creditmemo_id لأمر #%order_id"
"Billing Info","بيانات الدفع"
"Shipping Info","بيانات الشحن"
"Payment Method","طريقة الدفع"
"Shipping Method","طريقة الشحن"
"Update to your %store_name credit memo","تحديث لمذكرة الائتمان الخاصة بك %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","طلبك #%increment_id تم تحديث حالته إلى <strong>%order_status</strong>."
"Invoice for your %store_name order","فاتورة لطلبك %store_name"
"Your Invoice #%invoice_id for Order #%order_id","فاتورتك #%invoice_id للطلب #%order_id"
"Update to your %store_name invoice","تحديث للفاتورة %store_name"
"Your %store_name order confirmation","تأكيد طلبك في %store_name"
"%customer_name,",%customer_name،
